,Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
87,Japan,1952495,85559,1307911,42797.45852,37.309583333333336,1.79732883044299,347.0,0.92,48
88,Jordan,93144,1041,68045,9478.904588,36.83538461538462,13.4086666338649,115.0,0.91,24
89,Kazakhstan,2430707,14621,1342402,27879.75195,27.637,9.30237716906213,7.0,0.58,31
90,Kenya,464603,10463,161998,3467.556478,40.78,31.8651455283186,94.0,0.28,20
91,Kosovo,225972,5229,122234,11348.36345,30.00111111111111,,,,
92,Kuwait,3120160,23084,2205347,72897.56235,,6.76705571990671,240.0,,37
93,Kyrgyzstan,596200,14979,301587,,27.975555555555555,16.3619299835814,34.0,0.36,26
94,Laos,2229,0,1540,,36.39,,32.0,0.36,24
95,Latvia,118383,2458,74648,30304.8525,39.11314516129032,3.09095946111855,30.0,0.69,44
96,Lebanon,166607,3520,82508,13081.10746,31.83,6.16469077382147,667.0,0.78,30
97,Lesotho,6794,98,1318,3219.457157,49.53,68.0769624448681,71.0,0.31,24
98,Liberia,51775,3341,23418,1308.629536,34.255,62.1827803980534,53.0,0.53,19
99,Libya,62321,1612,14199,20764.16414,,9.88311311708789,4.0,0.78,29
100,Liechtenstein,10351,116,9477,,,,238.0,0.15,
101,Lithuania,188762,7019,120592,35461.3591,39.07785714285714,2.98901930980644,43.0,0.71,45
102,Luxembourg,501355,11624,379664,113337.4205,33.0376923076923,2.24776404384911,242.0,0.88,40
103,Madagascar,207296,1699,99424,1891.320668,41.45666666666667,36.472119246041,48.0,0.39,20
104,Malawi,89666,1640,26822,1310.995555,44.394,30.9118097634882,203.0,0.18,18
105,Malaysia,876874,12971,703056,31782.15336,40.44777777777778,7.32075778736948,99.0,0.78,30
106,Maldives,173602,705,106302,15307.72194,36.132,6.51564738536275,1802.0,0.35,30
107,Mali,151494,8229,95287,2316.6552,33.04,60.2095438844335,17.0,0.44,16
108,Malta,67483,765,53260,42581.09786,31.385510204081633,6.07825261804074,1380.0,0.93,43
109,Mauritania,219095,6720,94938,4150.965246,32.62,50.1396466932942,5.0,0.57,20
110,Mauritius,39448,1161,32602,23750.98804,37.614999999999995,14.2699591031934,626.0,0.41,37
111,Mexico,14946202,1728277,11141225,19844.64567,45.65829787234043,12.1962716272917,66.0,0.84,29
112,Moldova,1156957,38196,652369,7271.641919,28.015555555555554,,123.0,0.43,38
113,Monaco,11993,425,8707,,,2.52767541080837,26337.0,,
114,Mongolia,16999,0,9902,13799.90485,32.973333333333336,13.4465395041529,2.0,0.67,28
115,Montenegro,72422,1379,31486,20689.98675,35.491875,2.03975161037727,47.0,0.68,39
116,Morocco,1002746,23170,703960,8611.709833,39.55,18.3422831297555,83.0,0.64,30
117,Mozambique,58006,361,0,1459.698413,49.416666666666664,54.7735391567849,40.0,0.38,18
118,Namibia,28836,72,2152,11101.82628,58.935,30.725068284753,3.0,0.55,22
119,Nepal,682623,1660,308056,3089.556352,32.84,25.6186965629714,203.0,0.21,25
120,Netherlands,5167516,622314,16967,56328.94114,31.288702290076333,3.45458490818951,508.0,0.92,43
121,New Zealand,175979,2181,149560,41005.42087,36.48235294117647,3.94254962173884,18.0,0.87,38
122,Nicaragua,137545,4867,86849,5533.551064,46.145,14.3141394477629,55.0,0.57,26
123,Niger,102223,5948,79067,1063.421841,32.865,46.7214292121764,19.0,0.17,15
124,Nigeria,1634040,39416,600928,5990.850432,43.26666666666667,74.1603165903768,226.0,0.52,18
125,North Macedonia,440483,21235,214483,16358.66205,35.42125,5.34450987687625,83.0,0.59,39
126,Norway,1008821,25664,544430,65510.58527,29.66763888888889,1.98417062317694,15.0,0.83,40
127,Oman,2559773,11804,1439269,41859.93448,30.7,9.81234298388261,16.0,0.87,31
128,Pakistan,12833994,264729,6936003,5567.055608,31.094,55.6638250377458,287.0,0.35,23
129,Panama,2378126,51756,1213644,25553.69671,49.717586206896556,12.7802095529738,58.0,0.68,30
130,Papua New Guinea,1185,2,695,4336.244657,41.85,35.8500042732248,20.0,0.13,22
131,Paraguay,156373,1663,75800,13599.92656,49.63154761904762,16.6333020948903,18.0,0.62,26
132,Peru,19263916,652113,10862846,14418.07067,43.46120370370371,10.2552658630682,26.0,0.79,31
133,Philippines,2972611,110892,785042,8951.085654,43.65,21.6331188724485,368.0,0.47,26
134,Poland,2755525,118018,1465856,31336.6035,33.299677419354836,3.76272136744779,124.0,0.6,42
135,Portugal,3855363,146603,1809966,33415.4379,38.5291935483871,3.05017309505157,111.0,0.66,46
136,Qatar,6377607,7123,4676443,126898.4259,30.233333333333334,5.56815269992813,248.0,0.96,32
137,Romania,2363132,140031,1409409,28206.35705,37.81702479338843,5.69467026914019,84.0,0.55,43
138,Russia,45408411,619385,25120448,,36.89225352112676,,9.0,0.74,40
139,Rwanda,71242,169,36974,2251.556388,46.26,26.2901337440358,525.0,0.18,20
140,Saint Kitts and Nevis,1772,0,1295,,,12.8756603341026,,,
141,Saint Lucia,2236,0,1860,,51.23,20.0138466724653,301.0,0.19,34
142,Saint Vincent and the Grenadines,2771,0,1995,,,13.3854873459268,,,
143,San Marino,74949,5086,41810,,28.5875,1.49318115564395,566.0,0.97,
144,Sao Tome and Principe,46884,950,15882,3418.58693,43.57,23.4842550798601,,,
145,Saudi Arabia,12362961,105150,8474107,55335.67959,44.05,5.68587182189084,16.0,0.84,32
146,Senegal,467457,7177,286778,3782.538613,39.045,32.6959693868536,87.0,0.49,19
147,Serbia,1376322,28876,735730,17434.91613,37.88278350515464,4.62873593247983,100.0,0.56,42
148,Seychelles,3977,0,1247,30557.07572,46.82,12.2616936731427,214.0,0.56,34
149,Sierra Leone,95846,4186,58390,1601.974029,34.86,80.9210363912884,111.0,0.43,19
150,Singapore,3502472,2441,2372884,101531.6302,47.25,2.05010787758996,8358.0,,42
151,Slovakia,176429,2692,121950,,28.303575418994413,4.68317833689217,114.0,0.54,41
152,Slovenia,186132,11326,109805,38048.78466,29.657364864864864,1.66051485821116,103.0,0.55,45
