Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
Afghanistan,1936390,-0.183324410703291,798240,0.009597965944378773,-1.0098808986326668,0.5662133494785164,0.0022781637999772183,-1.6370733374657753,-1.4576241394924039
Albania,196702,-0.2268134713865568,118877,0.10003605859828388,-0.9097725556895926,0.08956225102137945,0.0039867866499601326,0.15720792483977408,0.6554417271543023
Algeria,1179755,-0.15438449048737451,755897,0.11682211474465656,-1.6643205136933592,0.23219314662223006,0.0006834491399931655,0.629387204393866,-0.16630610987497238
Andorra,94404,-0.22709912205018276,69074,0.16499332159743768,-1.6135192650356798,0.016833419074207826,0.006226981053271063,1.337656123725004,0.0
Angola,22662,-0.23145404181669094,6573,0.04524757090837612,1.8693545767599236,0.6123374607120533,0.0009872043133234613,0.346079636661411,-1.5750166876394431
Antigua and Barbuda,4487,-0.2322077586554514,2600,0.2070794501659228,0.0,0.05404638036993129,0.008467175456581995,-1.589855409510366,0.42065663086022376
Argentina,4450658,-0.13456233899779288,1680024,0.15747695737517983,0.40629284546040006,0.08483044369551337,0.0006454797433268786,1.5737457635020502,0.1858715345661453
Armenia,1587173,-0.2053836579164276,857482,0.07608934290856967,-0.9384331531943266,0.11338873458249721,0.003948817253293845,0.15720792483977408,0.538049179007263
Australia,960247,-0.22112150605767303,711928,0.40362639791510885,-0.24601413572807257,0.019602999703675777,0.00011390818999886092,1.2432202678141855,0.8902268234483807
Austria,2034986,-0.16098151739258898,1638380,0.4336794828130623,-0.8841691532673719,0.017004322439111184,0.00413866423662528,-0.12609964289268136,1.4771895641835768
Azerbaijan,1134717,-0.21821989668505137,703402,0.13713335503470606,0.0,0.21059472612623148,0.004670235789953297,-0.17331757084809007,0.1858715345661453
Bahamas,12100,-0.23132875643790762,6047,0.16499332159743768,0.0,0.1177502755732413,0.001480806469985192,1.2432202678141855,0.1858715345661453
Bahrain,1755206,-0.22740782522350486,1334787,0.369063021783705,3.1139851688730666,0.05544705225716017,0.08501347913581653,1.3848740516804132,0.1858715345661453
